Month,Year,Region,Dengue_Cases
Jan,2008,Region.I,2.953926
Feb,2008,Region.I,2.183336
Mar,2008,Region.I,0.97241
Apr,2008,Region.I,9.357156
May,2008,Region.I,7.320599
Jun,2008,Region.I,4.513452
Jul,2008,Region.I,6.82522
Aug,2008,Region.I,9.210377
Sep,2008,Region.I,13.301839
Oct,2008,Region.I,1.724652
Nov,2008,Region.I,1.32101
Dec,2008,Region.I,1.0458
Jan,2009,Region.I,5.23598
Feb,2009,Region.I,3.719351
Mar,2009,Region.I,2.473549
Apr,2009,Region.I,3.051313
May,2009,Region.I,4.658217
Jun,2009,Region.I,6.644278
Jul,2009,Region.I,1.263857
Aug,2009,Region.I,1.516629
Sep,2009,Region.I,0.902755
Oct,2009,Region.I,4.333225
Nov,2009,Region.I,3.159643
Dec,2009,Region.I,2.166613
Jan,2010,Region.I,1.97192
Feb,2010,Region.I,3.197708
Mar,2010,Region.I,5.276218
Apr,2010,Region.I,0.657307
May,2010,Region.I,0.728367
Jun,2010,Region.I,0.604011
Jul,2010,Region.I,4.796562
Aug,2010,Region.I,3.286533
Sep,2010,Region.I,2.700287
Oct,2010,Region.I,1.954155
Nov,2010,Region.I,3.712894
Dec,2010,Region.I,4.672207
Jan,2011,Region.I,1.817482
Feb,2011,Region.I,2.149523
Mar,2011,Region.I,0.699032
Apr,2011,Region.I,5.40002
May,2011,Region.I,5.854391
Jun,2011,Region.I,3.914578
Jul,2011,Region.I,3.582538
Aug,2011,Region.I,5.819439
Sep,2011,Region.I,3.634965
Oct,2011,Region.I,3.827199
Nov,2011,Region.I,5.225262
Dec,2011,Region.I,1.800007
Jan,2012,Region.I,17.086037
Feb,2012,Region.I,15.006147
Mar,2012,Region.I,19.423764
Apr,2012,Region.I,5.792751
May,2012,Region.I,16.879767
Jun,2012,Region.I,7.013182
Jul,2012,Region.I,9.505612
Aug,2012,Region.I,12.616852
Sep,2012,Region.I,12.101177
Oct,2012,Region.I,54.695944
Nov,2012,Region.I,43.437037
Dec,2012,Region.I,61.932585
Jan,2013,Region.I,16.873577
Feb,2013,Region.I,36.012743
Mar,2013,Region.I,21.184961
Apr,2013,Region.I,15.284282
May,2013,Region.I,9.33288
Jun,2013,Region.I,27.592863
Jul,2013,Region.I,83.505606
Aug,2013,Region.I,35.539336
Sep,2013,Region.I,76.658112
Oct,2013,Region.I,23.771792
Nov,2013,Region.I,71.856413
Dec,2013,Region.I,29.587935
Jan,2014,Region.I,8.898958
Feb,2014,Region.I,5.173039
Mar,2014,Region.I,28.792703
Apr,2014,Region.I,33.16733
May,2014,Region.I,20.209783
Jun,2014,Region.I,47.605266
Jul,2014,Region.I,18.56306
Aug,2014,Region.I,59.348563
Sep,2014,Region.I,24.268373
Oct,2014,Region.I,5.22294
Nov,2014,Region.I,4.025323
Dec,2014,Region.I,10.745284
Jan,2015,Region.I,13.865062
Feb,2015,Region.I,13.53767
Mar,2015,Region.I,31.429657
Apr,2015,Region.I,13.455822
May,2015,Region.I,40.547531
Jun,2015,Region.I,13.324865
Jul,2015,Region.I,3.765011
Aug,2015,Region.I,1.735179
Sep,2015,Region.I,4.878145
Oct,2015,Region.I,7.660979
Nov,2015,Region.I,7.972001
Dec,2015,Region.I,18.415814
Jan,2016,Region.I,13.504792
Feb,2016,Region.I,27.912051
Mar,2016,Region.I,9.073028
Apr,2016,Region.I,2.481787
May,2016,Region.I,1.772705
Jun,2016,Region.I,3.738797
Jul,2016,Region.I,5.575964
Aug,2016,Region.I,4.641265
Sep,2016,Region.I,8.235022
Oct,2016,Region.I,8.073867
Nov,2016,Region.I,15.857655
Dec,2016,Region.I,3.593757
Jan,2008,Region.II,3.232928
Feb,2008,Region.II,2.297784
Mar,2008,Region.II,5.423838
Apr,2008,Region.II,13.733265
May,2008,Region.II,13.572955
Jun,2008,Region.II,16.164641
Jul,2008,Region.II,9.324727
Aug,2008,Region.II,11.408763
Sep,2008,Region.II,18.115085
Oct,2008,Region.II,2.271065
Nov,2008,Region.II,1.629823
Dec,2008,Region.II,2.351221
Jan,2009,Region.II,6.231395
Feb,2009,Region.II,7.493449
Mar,2009,Region.II,10.753757
Apr,2009,Region.II,4.075385
May,2009,Region.II,7.493449
Jun,2009,Region.II,10.701171
Jul,2009,Region.II,1.130591
Aug,2009,Region.II,1.919375
Sep,2009,Region.II,1.998253
Oct,2009,Region.II,6.073638
Nov,2009,Region.II,5.758124
Dec,2009,Region.II,9.570581
Jan,2010,Region.II,2.483559
Feb,2010,Region.II,6.053674
Mar,2010,Region.II,5.74323
Apr,2010,Region.II,1.397002
May,2010,Region.II,1.526354
Jun,2010,Region.II,1.552224
Jul,2010,Region.II,7.217843
Aug,2010,Region.II,4.294487
Sep,2010,Region.II,12.288442
Oct,2010,Region.II,2.017891
Nov,2010,Region.II,5.458655
Dec,2010,Region.II,3.88056
Jan,2011,Region.II,0.814374
Feb,2011,Region.II,3.74103
Mar,2011,Region.II,1.88324
Apr,2011,Region.II,12.368304
May,2011,Region.II,5.344329
Jun,2011,Region.II,20.91923
Jul,2011,Region.II,2.112282
Aug,2011,Region.II,11.935668
Sep,2011,Region.II,2.49402
Oct,2011,Region.II,2.061384
Nov,2011,Region.II,7.507509
Dec,2011,Region.II,3.232046
Jan,2012,Region.II,24.506129
